config,n,rps,log_loss,acc,ece,skill_vs_prior,skill_vs_market,secs
elo only,16888,0.2020669680831085,0.991520410727504,0.5172903837044055,0.008057153524772253,0.10241154879467354,-0.027405206861419854,4
form only,16888,0.20645374532799543,1.0052882036113933,0.5024869729985789,0.006597376760382098,0.08442649431525841,-0.049709682578026486,7
squad only,16888,0.20108226110285415,0.9893395093894783,0.522797252486973,0.010398441040680433,0.10651750045168012,-0.022398485137708906,6
Dixon-Coles only,16888,0.20319146278366673,0.9960449044832336,0.5152179062055897,0.007575325743305813,0.0974623285654292,-0.03312267627961009,4
elo+form,16888,0.20220494614943718,0.9918940178858824,0.5164613927048792,0.00964945252087667,0.10161250456165213,-0.028106753408703364,7
elo+form+squad,16888,0.19972243289824426,0.9846050740198473,0.5229156797726197,0.010652778845073043,0.1121627459296302,-0.015484467517181213,8
elo+form+squad+events,16888,0.199925286078275,0.9858968792983557,0.5238630980577925,0.012131856968407264,0.11146529767956201,-0.01651587020198947,9
elo+form+squad +DC,16888,0.19973531501607078,0.9843937262421337,0.5222643297015632,0.011034651431743819,0.11229364560809693,-0.01554996637162497,8
ALL non-market +DC,16888,0.19984579759215135,0.9852818970276258,0.5239223117006159,0.010046373967801213,0.11201868250669283,-0.01611171268280806,9
market only,16888,0.19814444654007068,0.9792069413426813,0.5266461392704879,0.005048188936462011,0.1117104427542612,-0.007461229399029097,4
ALL + market +DC,16888,0.1979049963324539,0.9791184445313337,0.5259947891994315,0.009930552987768912,0.11908202142992609,-0.006243749904862825,9
